#metadataBlock	name	dataverseAlias	displayName	blockURI														
	citation		Common Metadata	https://dataverse.org/schema/citation/														
#datasetField	name	title	description	watermark	 fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayOnCreate	required	parent	metadatablock_id	termURI		
	language	Javanese		74														
	language	Kalaallisut, Greenlandic		75														
	language	Kannada		76														
	language	Kanuri		77														
	language	Kashmiri		78														
	language	Kazakh		79														
	language	Khmer		80														
	language	Kikuyu, Gikuyu		81														
	language	Kinyarwanda		82														
	language	Kirundi		83														
	language	Komi		84														
	language	Kongo		85														
	language	Korean		86														
	language	Kurdish		87														
	language	Kwanyama, Kuanyama		88														
	language	Kyrgyz		89														
	language	Lao		90														
	language	Latin		91														
	language	Latvian		92														
	language	Limburgish, Limburgan, Limburger		93														
	language	Lingala		94														
	language	Lithuanian		95														
	language	Luba-Katanga		96														
	language	Luxembourgish, Letzeburgesch		97														
	language	Macedonian		98														
	language	Malagasy		99														
	language	Malay		100														
	language	Malayalam		101														
	language	Maltese		102														
	language	Manx		103														
	language	Māori		104														
	language	Marathi		105														
	language	Marshallese		106														
	language	Mixtepec Mixtec		107														
	language	Mongolian		108														
	language	Nauru		109														
	language	Navajo, Navaho		110														
	language	Ndonga		111														
	language	Nepali		112														
	language	Northern Ndebele		113														
	language	Northern Sami		114														
	language	Norwegian		115														
	language	Norwegian Bokmål		116														
	language	Norwegian Nynorsk		117														
	language	Nuosu		118														
	language	Occitan		119														
	language	Ojibwe, Ojibwa		120														
	language	Old Church Slavonic,Church Slavonic,Old Bulgarian		121														
	language	Oriya		122														
	language	Oromo		123														
	language	Ossetian, Ossetic		124														
	language	Pāli		125														
	language	Panjabi, Punjabi		126														
	language	Pashto, Pushto		127														
	language	Persian (Farsi)		128														
	language	Polish		129														
	language	Portuguese		130														
	language	Quechua		131														
	language	Romanian		132														
	language	Romansh		133														
	language	Russian		134														
	language	Samoan		135														
	language	Sango		136														
	language	Sanskrit		137														
	language	Sardinian		138														
	language	Scottish Gaelic, Gaelic		139														
	language	Serbian		140														
	language	Shona		141														
